"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"Left";" 643.0";"1824";"0.04460";"0.9739"
"2";"  0";"Right";" 577.7";"2074";"0.12337";"0.9138"
"3";" 45";"Left";" 942.1";"2830";"0.09244";"0.9194"
"4";" 45";"Right";" 938.3";"2896";"0.09240";"0.9220"
"5";" 90";"Left";"1047.0";"3664";"0.10987";"0.8706"
"6";" 90";"Right";"1150.6";"3765";"0.12304";"0.8694"
"7";"135";"Left";"1477.1";"4252";"0.12675";"0.8482"
"8";"135";"Right";"1510.2";"4343";"0.10177";"0.8610"
"9";"180";"Left";"1466.9";"4804";"0.15386";"0.8092"
"10";"180";"Right";"1524.9";"4704";"0.11242";"0.8570"
